,district,cell,household_head,find_hh,consent1,children_in_hh,hhmembers,name_hh_member,relation_to_hh_head,gender_hh_member,age_hh_member,name,age,gender
255,district A,cell_3,ebony,1,1.0,1.0,7.0,kalyn,5.0,1.0,0.0,kalyn,0.0,1.0
257,district A,cell_2,morgana,1,1.0,1.0,5.0,claud,5.0,0.0,1.0,claud,1.0,0.0
263,district A,cell_3,twyla,1,1.0,1.0,5.0,denholm,3.0,0.0,1.0,denholm,1.0,0.0
267,district A,cell_2,shiphrah,1,1.0,1.0,5.0,ernest,3.0,0.0,1.0,ernest,1.0,0.0
276,district A,cell_2,gervase,1,1.0,1.0,6.0,cyndi,3.0,1.0,1.0,cyndi,1.0,1.0
281,district A,cell_2,lucas,1,1.0,1.0,5.0,katelin,3.0,1.0,2.0,katelin,2.0,1.0
284,district A,cell_2,martie,1,1.0,1.0,7.0,neely,5.0,0.0,1.0,neely,1.0,0.0
291,district A,cell_3,wilton,1,1.0,1.0,5.0,zack,5.0,0.0,2.0,zack,2.0,0.0
298,district A,cell_3,erin,1,1.0,1.0,6.0,jacinda,3.0,1.0,1.0,jacinda,1.0,1.0
307,district A,cell_2,nickolas,1,1.0,1.0,11.0,sandrine,5.0,1.0,2.0,sandrine,2.0,1.0
313,district A,cell_2,kwadwo,1,1.0,1.0,5.0,maynard,3.0,0.0,0.0,maynard,0.0,0.0
319,district A,cell_2,laurissa,1,1.0,1.0,4.0,kimberly,3.0,1.0,0.0,kimberly,0.0,1.0
323,district A,cell_1,pauline,1,1.0,1.0,4.0,bernardine,13.0,1.0,2.0,bernardine,2.0,1.0
332,district A,cell_1,uri,1,1.0,1.0,9.0,kaleigh,5.0,1.0,0.0,kaleigh,0.0,1.0
334,district A,cell_1,yolanda,1,1.0,1.0,3.0,enos,3.0,0.0,2.0,enos,2.0,0.0
337,district A,cell_2,ephraim,1,1.0,1.0,4.0,kweku,3.0,0.0,1.0,kweku,1.0,0.0
342,district A,cell_3,tetty,1,1.0,1.0,6.0,roderick,3.0,0.0,0.0,roderick,0.0,0.0
350,district A,cell_2,serge,1,1.0,1.0,5.0,nomusa,3.0,1.0,0.0,nomusa,0.0,1.0
357,district A,cell_1,madlyn,1,1.0,1.0,7.0,darlene,3.0,1.0,2.0,darlene,2.0,1.0
361,district A,cell_2,mellony,1,1.0,1.0,4.0,lise,3.0,1.0,1.0,lise,1.0,1.0
366,district A,cell_1,finnegan,1,1.0,1.0,7.0,loic,3.0,0.0,1.0,loic,1.0,0.0
382,district A,cell_3,warner,1,1.0,1.0,5.0,flo,3.0,1.0,0.0,flo,0.0,1.0
384,district A,cell_2,keziah,1,1.0,1.0,5.0,cain,3.0,0.0,1.0,cain,1.0,0.0
389,district A,cell_1,harold,1,1.0,1.0,4.0,jamison,5.0,0.0,1.0,jamison,1.0,0.0
396,district A,cell_3,joe,1,1.0,1.0,5.0,trina,3.0,1.0,0.0,trina,0.0,1.0
403,district A,cell_3,montgomery,1,1.0,1.0,7.0,honour,3.0,1.0,0.0,honour,0.0,1.0
406,district A,cell_2,lexie,1,1.0,1.0,3.0,florette,13.0,1.0,2.0,florette,2.0,1.0
415,district A,cell_1,zipporah,1,1.0,1.0,5.0,jamie (2),3.0,1.0,1.0,jamie (2),1.0,1.0
418,district A,cell_1,vicky,1,1.0,1.0,3.0,lallie,5.0,1.0,0.0,lallie,0.0,1.0
422,district A,cell_2,sequoia,1,1.0,1.0,4.0,sierra,3.0,1.0,0.0,sierra,0.0,1.0
425,district A,cell_2,marlowe,1,1.0,1.0,4.0,shamgar,3.0,0.0,1.0,shamgar,1.0,0.0
437,district A,cell_1,ariella,1,1.0,1.0,5.0,fancy,3.0,1.0,1.0,fancy,1.0,1.0
445,district A,cell_3,alvah,1,1.0,1.0,5.0,brandon,3.0,0.0,2.0,brandon,2.0,0.0
451,district A,cell_3,danny,1,1.0,1.0,4.0,lizette,3.0,1.0,2.0,lizette,2.0,1.0
454,district A,cell_1,leah,1,1.0,1.0,5.0,kenan,3.0,0.0,0.0,kenan,0.0,0.0
456,district A,cell_1,leah,1,1.0,1.0,5.0,samara,3.0,1.0,0.0,samara,0.0,1.0
458,district A,cell_2,ozzie,1,1.0,1.0,6.0,richard,3.0,0.0,1.0,richard,1.0,0.0
468,district A,cell_1,sid,1,1.0,1.0,6.0,cheri,3.0,1.0,0.0,cheri,0.0,1.0
471,district A,cell_2,pia,1,1.0,1.0,6.0,edgard,5.0,0.0,2.0,edgard,2.0,0.0
477,district A,cell_1,garfield,1,1.0,1.0,5.0,jeffrey,3.0,0.0,1.0,jeffrey,1.0,0.0
482,district A,cell_1,darell,1,1.0,1.0,4.0,_mile,3.0,0.0,1.0,_mile,1.0,0.0
487,district A,cell_3,emmet,1,1.0,1.0,6.0,isador,5.0,0.0,1.0,isador,1.0,0.0
494,district A,cell_3,jay (1),1,1.0,1.0,8.0,abram,3.0,0.0,2.0,abram,2.0,0.0
511,district A,cell_1,r_gis,1,1.0,1.0,8.0,grace,5.0,1.0,1.0,grace,1.0,1.0
513,district A,cell_3,wynonna,1,1.0,1.0,4.0,constant,3.0,0.0,1.0,constant,1.0,0.0
520,district A,cell_3,brenden,1,1.0,1.0,5.0,zowie,3.0,1.0,2.0,zowie,2.0,1.0
525,district A,cell_2,fox,1,1.0,1.0,5.0,frederick,3.0,0.0,1.0,frederick,1.0,0.0
554,district A,cell_1,nigella,1,1.0,1.0,4.0,carlie,3.0,1.0,1.0,carlie,1.0,1.0
555,district A,cell_2,breanne,1,1.0,1.0,4.0,durward,5.0,0.0,0.0,durward,0.0,0.0
563,district A,cell_2,eglantine,1,1.0,1.0,7.0,tristin,3.0,0.0,2.0,tristin,2.0,0.0
572,district A,cell_1,chalice,1,1.0,1.0,5.0,warren,5.0,0.0,1.0,warren,1.0,0.0
584,district A,cell_3,gratien,1,1.0,1.0,4.0,gregg,5.0,0.0,0.0,gregg,0.0,0.0
596,district A,cell_1,aquila,1,1.0,1.0,4.0,daisy,3.0,1.0,1.0,daisy,1.0,1.0
600,district A,cell_3,loraine,1,1.0,1.0,5.0,omri,3.0,0.0,2.0,omri,2.0,0.0
605,district A,cell_1,derby,1,1.0,1.0,6.0,lincoln,3.0,0.0,2.0,lincoln,2.0,0.0
607,district A,cell_1,derby,1,1.0,1.0,6.0,ernestine,3.0,1.0,2.0,ernestine,2.0,1.0
616,district A,cell_2,romey,1,1.0,1.0,7.0,didier,3.0,0.0,1.0,didier,1.0,0.0
634,district A,cell_1,roddy,1,1.0,1.0,4.0,christelle,3.0,1.0,0.0,christelle,0.0,1.0
636,district A,cell_1,jennifer,1,1.0,1.0,5.0,zephaniah,5.0,0.0,1.0,zephaniah,1.0,0.0
643,district A,cell_3,nona,1,1.0,1.0,7.0,palmer,5.0,0.0,0.0,palmer,0.0,0.0
647,district A,cell_1,rosemonde,1,1.0,1.0,3.0,adolphe,5.0,0.0,2.0,adolphe,2.0,0.0
658,district A,cell_1,jaclyn,1,1.0,1.0,6.0,bryana,5.0,1.0,2.0,bryana,2.0,1.0
663,district A,cell_3,joseph,1,1.0,1.0,4.0,micheline,3.0,1.0,2.0,micheline,2.0,1.0
672,district A,cell_1,frances,1,1.0,1.0,5.0,lexus,3.0,1.0,0.0,lexus,0.0,1.0
674,district A,cell_3,duane,1,1.0,1.0,3.0,harland,5.0,0.0,2.0,harland,2.0,0.0
692,district A,cell_1,rhonda,1,1.0,1.0,8.0,brigham,5.0,0.0,2.0,brigham,2.0,0.0
708,district A,cell_2,patton,1,1.0,1.0,6.0,saxon,3.0,0.0,1.0,saxon,1.0,0.0
719,district A,cell_2,branden,1,1.0,1.0,9.0,jaqueline,3.0,1.0,2.0,jaqueline,2.0,1.0
731,district A,cell_1,nydia,1,1.0,1.0,3.0,sandford,3.0,0.0,1.0,sandford,1.0,0.0
736,district A,cell_3,prudence,1,1.0,1.0,6.0,tucker,5.0,0.0,1.0,tucker,1.0,0.0
753,district A,cell_3,nancy,1,1.0,1.0,4.0,lux,3.0,1.0,0.0,lux,0.0,1.0
758,district A,cell_1,zak,1,1.0,1.0,5.0,lolicia,3.0,1.0,2.0,lolicia,2.0,1.0
763,district A,cell_3,fae,1,1.0,1.0,9.0,jephthah,3.0,0.0,1.0,jephthah,1.0,0.0
776,district A,cell_1,tyson,1,1.0,1.0,2.0,jewel,3.0,1.0,2.0,jewel,2.0,1.0
793,district A,cell_1,xylia,1,1.0,1.0,3.0,zechariah,3.0,0.0,1.0,zechariah,1.0,0.0
797,district A,cell_2,nigelia,1,1.0,1.0,4.0,baptiste,3.0,0.0,0.0,baptiste,0.0,0.0
818,district A,cell_2,lenore,1,1.0,1.0,5.0,merideth,5.0,1.0,1.0,merideth,1.0,1.0
820,district A,cell_2,fleur,1,1.0,1.0,5.0,percy,3.0,0.0,2.0,percy,2.0,0.0
827,district A,cell_3,alwyn,1,1.0,1.0,10.0,wilbur,3.0,0.0,0.0,wilbur,0.0,0.0
843,district A,cell_3,linton,1,1.0,1.0,7.0,xaviera,3.0,1.0,0.0,xaviera,0.0,1.0
854,district A,cell_2,elmira,1,1.0,1.0,7.0,kristy,5.0,1.0,0.0,kristy,0.0,1.0
856,district A,cell_2,redd,1,1.0,1.0,5.0,tobias,3.0,0.0,1.0,tobias,1.0,0.0
864,district A,cell_3,marilyn,1,1.0,1.0,12.0,david,3.0,0.0,0.0,david,0.0,0.0
879,district A,cell_2,jacob,1,1.0,1.0,9.0,maximillian,3.0,0.0,0.0,maximillian,0.0,0.0
885,district A,cell_1,earnestine,1,1.0,1.0,4.0,ren_,3.0,0.0,2.0,ren_,2.0,0.0
893,district A,cell_2,davin,1,1.0,1.0,6.0,paget,5.0,1.0,1.0,paget,1.0,1.0
919,district A,cell_2,charis,1,1.0,1.0,4.0,sylvain,5.0,0.0,2.0,sylvain,2.0,0.0
920,district A,cell_2,charis,1,1.0,1.0,4.0,tylar,5.0,0.0,2.0,tylar,2.0,0.0
923,district A,cell_1,jacaline,1,1.0,1.0,2.0,cecil,5.0,0.0,1.0,cecil,1.0,0.0
929,district A,cell_3,l_onne,1,1.0,1.0,5.0,anemone,5.0,1.0,0.0,anemone,0.0,1.0
931,district A,cell_2,dillon,1,1.0,1.0,3.0,grosvenor,3.0,0.0,0.0,grosvenor,0.0,0.0
934,district A,cell_3,israel,1,1.0,1.0,3.0,jem,3.0,0.0,2.0,jem,2.0,0.0
938,district A,cell_2,nannie,1,1.0,1.0,4.0,haywood,5.0,0.0,2.0,haywood,2.0,0.0
952,district A,cell_2,deforest,1,1.0,1.0,4.0,deven,3.0,0.0,1.0,deven,1.0,0.0
956,district A,cell_1,eleazar,1,1.0,1.0,7.0,hedley,3.0,0.0,2.0,hedley,2.0,0.0
964,district A,cell_1,ros,1,1.0,1.0,3.0,andr_e,3.0,1.0,1.0,andr_e,1.0,1.0
970,district A,cell_2,martin,1,1.0,1.0,6.0,burgundy,3.0,1.0,2.0,burgundy,2.0,1.0
976,district A,cell_2,kemp,1,1.0,1.0,6.0,earline,3.0,1.0,1.0,earline,1.0,1.0
983,district A,cell_2,raymund,1,1.0,1.0,7.0,pleasance,3.0,1.0,1.0,pleasance,1.0,1.0
987,district A,cell_3,tel,1,1.0,1.0,4.0,calanthe,3.0,1.0,1.0,calanthe,1.0,1.0
989,district A,cell_2,brant,1,1.0,1.0,4.0,deshawn,3.0,0.0,1.0,deshawn,1.0,0.0
1001,district A,cell_1,destinee,1,1.0,1.0,5.0,gene,3.0,0.0,2.0,gene,2.0,0.0
1007,district A,cell_2,horatio,1,1.0,1.0,6.0,leyton,3.0,0.0,2.0,leyton,2.0,0.0
1018,district A,cell_1,dayo,1,1.0,1.0,4.0,marylyn,5.0,1.0,1.0,marylyn,1.0,1.0
1027,district A,cell_3,stephanie,1,1.0,1.0,7.0,fabian,5.0,0.0,2.0,fabian,2.0,0.0
1032,district A,cell_1,lucian,1,1.0,1.0,5.0,uriel,3.0,0.0,2.0,uriel,2.0,0.0
1035,district A,cell_1,hepzibah,1,1.0,1.0,2.0,vince,3.0,0.0,2.0,vince,2.0,0.0
1038,district A,cell_3,vita,1,1.0,1.0,3.0,cree,5.0,0.0,2.0,cree,2.0,0.0
1042,district A,cell_2,rachyl,1,1.0,1.0,7.0,joby,5.0,0.0,2.0,joby,2.0,0.0
1049,district A,cell_2,noah (1),1,1.0,1.0,5.0,pearce,3.0,0.0,1.0,pearce,1.0,0.0
1067,district A,cell_1,laurette,1,1.0,1.0,4.0,angelina,3.0,1.0,1.0,angelina,1.0,1.0
1073,district A,cell_1,eliezer,1,1.0,1.0,7.0,dulcie,3.0,1.0,2.0,dulcie,2.0,1.0
1074,district A,cell_1,eliezer,1,1.0,1.0,7.0,ebba,3.0,1.0,2.0,ebba,2.0,1.0
1077,district A,cell_3,grier,1,1.0,1.0,4.0,suzanna,3.0,1.0,2.0,suzanna,2.0,1.0
1084,district A,cell_3,hardy,1,1.0,1.0,6.0,lynette,3.0,1.0,2.0,lynette,2.0,1.0
1088,district A,cell_2,carry,1,1.0,1.0,6.0,reg,3.0,0.0,0.0,reg,0.0,0.0
1094,district A,cell_1,iantha,1,1.0,1.0,8.0,ham,3.0,0.0,1.0,ham,1.0,0.0
1100,district A,cell_1,wanda,1,1.0,1.0,6.0,konnor,5.0,0.0,1.0,konnor,1.0,0.0
1109,district A,cell_2,unice,1,1.0,1.0,3.0,alain,3.0,0.0,1.0,alain,1.0,0.0
1114,district A,cell_1,france,1,1.0,1.0,4.0,joshawa,3.0,0.0,2.0,joshawa,2.0,0.0
1119,district A,cell_2,r_becca,1,1.0,1.0,7.0,quanah,3.0,0.0,1.0,quanah,1.0,0.0
1123,district A,cell_3,alexia,1,1.0,1.0,12.0,radcliff,3.0,0.0,0.0,radcliff,0.0,0.0
1129,district A,cell_3,alexia,1,1.0,1.0,12.0,madoline,5.0,1.0,2.0,madoline,2.0,1.0
1138,district A,cell_1,auberon,1,1.0,1.0,9.0,femi,3.0,0.0,1.0,femi,1.0,0.0
1146,district A,cell_3,issachar,1,1.0,1.0,7.0,teddy,3.0,0.0,0.0,teddy,0.0,0.0
1153,district A,cell_3,henriette,1,1.0,1.0,8.0,deemer,5.0,0.0,2.0,deemer,2.0,0.0
1162,district A,cell_3,jeana,1,1.0,1.0,5.0,nikole,5.0,1.0,2.0,nikole,2.0,1.0
1165,district A,cell_3,pippa,1,1.0,1.0,7.0,precious,5.0,0.0,1.0,precious,1.0,0.0
1178,district A,cell_1,arianne,1,1.0,1.0,5.0,shanika,3.0,1.0,2.0,shanika,2.0,1.0
1181,district A,cell_2,tobin,1,1.0,1.0,5.0,xerxes,3.0,0.0,2.0,xerxes,2.0,0.0
1191,district A,cell_2,davey,1,1.0,1.0,4.0,steve,3.0,0.0,1.0,steve,1.0,0.0
1196,district A,cell_3,blondie,1,1.0,1.0,9.0,emery,5.0,0.0,2.0,emery,2.0,0.0
1204,district A,cell_3,rusty,1,1.0,1.0,7.0,benjy,5.0,0.0,2.0,benjy,2.0,0.0
1220,district A,cell_1,willa,1,1.0,1.0,4.0,ehud,3.0,0.0,2.0,ehud,2.0,0.0
1227,district A,cell_3,lucinde,1,1.0,1.0,4.0,rena,3.0,1.0,1.0,rena,1.0,1.0
1229,district A,cell_1,marianne (2),1,1.0,1.0,3.0,linford,3.0,0.0,1.0,linford,1.0,0.0
1239,district A,cell_2,odhiambo,1,1.0,1.0,9.0,tina,5.0,1.0,1.0,tina,1.0,1.0
1244,district A,cell_1,darrin,1,1.0,1.0,4.0,ed,3.0,0.0,1.0,ed,1.0,0.0
1246,district A,cell_1,darrin,1,1.0,1.0,4.0,eireann,3.0,1.0,1.0,eireann,1.0,1.0
1248,district A,cell_3,edwin,1,1.0,1.0,3.0,faron,3.0,0.0,1.0,faron,1.0,0.0
1258,district A,cell_1,becka,1,1.0,1.0,9.0,julia,5.0,1.0,1.0,julia,1.0,1.0
1263,district A,cell_1,stan,1,1.0,1.0,7.0,eliud,3.0,0.0,1.0,eliud,1.0,0.0
1268,district A,cell_2,joandra,1,1.0,1.0,4.0,leo,3.0,0.0,1.0,leo,1.0,0.0
1273,district A,cell_1,rose,1,1.0,1.0,4.0,karlene,5.0,1.0,1.0,karlene,1.0,1.0
1286,district A,cell_3,frederica,1,1.0,1.0,5.0,al,5.0,0.0,0.0,al,0.0,0.0
1291,district A,cell_1,abishag,1,1.0,1.0,6.0,antony,3.0,0.0,0.0,antony,0.0,0.0
1302,district A,cell_3,kojo,1,1.0,1.0,7.0,reynard,3.0,0.0,0.0,reynard,0.0,0.0
1341,district A,cell_3,virgil,1,1.0,1.0,7.0,dennis,3.0,0.0,2.0,dennis,2.0,0.0
1345,district A,cell_1,manny,1,1.0,1.0,4.0,marvin,5.0,0.0,0.0,marvin,0.0,0.0
1349,district A,cell_2,rhoda,1,1.0,1.0,2.0,rina,3.0,1.0,1.0,rina,1.0,1.0
1350,district A,cell_3,wilfreda,1,1.0,1.0,7.0,sly,3.0,0.0,2.0,sly,2.0,0.0
1367,district A,cell_3,leontyne,1,1.0,1.0,7.0,lyndsea,13.0,1.0,1.0,lyndsea,1.0,1.0
1372,district A,cell_3,lareyna,1,1.0,1.0,5.0,reenie,5.0,1.0,2.0,reenie,2.0,1.0
1375,district A,cell_1,rosy,1,1.0,1.0,5.0,d_sir_,3.0,0.0,1.0,d_sir_,1.0,0.0
1386,district A,cell_1,orson,1,1.0,1.0,4.0,stafford,3.0,0.0,2.0,stafford,2.0,0.0
1388,district A,cell_1,orson,1,1.0,1.0,4.0,yazmin,3.0,1.0,1.0,yazmin,1.0,1.0
1389,district A,cell_1,elspeth,1,1.0,1.0,4.0,stirling,3.0,0.0,0.0,stirling,0.0,0.0
1395,district A,cell_3,drogo,1,1.0,1.0,7.0,jethro,3.0,0.0,1.0,jethro,1.0,0.0
1403,district A,cell_2,lina (2),1,1.0,1.0,4.0,selma,5.0,1.0,1.0,selma,1.0,1.0
1406,district A,cell_3,amyas,1,1.0,1.0,4.0,cullen,3.0,0.0,2.0,cullen,2.0,0.0
1409,district A,cell_3,mariette,1,1.0,1.0,2.0,jolie,5.0,1.0,2.0,jolie,2.0,1.0
1415,district A,cell_3,eug�ne,1,1.0,1.0,6.0,dakarai,5.0,1.0,1.0,dakarai,1.0,1.0
1420,district A,cell_3,marty,1,1.0,1.0,5.0,sherley,5.0,1.0,1.0,sherley,1.0,1.0
1422,district A,cell_1,jessalyn,1,1.0,1.0,7.0,spike,5.0,0.0,0.0,spike,0.0,0.0
1431,district A,cell_3,amedeus,1,1.0,1.0,4.0,trudy,3.0,1.0,2.0,trudy,2.0,1.0
1434,district A,cell_3,candice,1,1.0,1.0,3.0,cassia,5.0,1.0,0.0,cassia,0.0,1.0
1436,district A,cell_1,cordelia,1,1.0,1.0,7.0,no_,8.0,0.0,2.0,no_,2.0,0.0
1443,district A,cell_1,jami,1,1.0,1.0,3.0,s_verin,3.0,0.0,2.0,s_verin,2.0,0.0
1447,district A,cell_3,val_ry,1,1.0,1.0,3.0,tianna,3.0,1.0,1.0,tianna,1.0,1.0
1449,district A,cell_2,fay,1,1.0,1.0,4.0,clark,3.0,0.0,2.0,clark,2.0,0.0
1460,district A,cell_2,jeff,1,1.0,1.0,8.0,yolande,5.0,1.0,0.0,yolande,0.0,1.0
1467,district A,cell_3,barbara,1,1.0,1.0,6.0,howard,5.0,0.0,1.0,howard,1.0,0.0
1476,district A,cell_3,felicienne,1,1.0,1.0,7.0,vincent,3.0,0.0,1.0,vincent,1.0,0.0
1481,district A,cell_1,monday,1,1.0,1.0,6.0,columban,5.0,0.0,1.0,columban,1.0,0.0
1493,district A,cell_1,hizkiah,1,1.0,1.0,5.0,nandy,3.0,0.0,1.0,nandy,1.0,0.0
1500,district A,cell_2,dena,1,1.0,1.0,5.0,sarra,5.0,1.0,2.0,sarra,2.0,1.0
1517,district A,cell_1,herbert,1,1.0,1.0,6.0,laurence (2),3.0,1.0,1.0,laurence (2),1.0,1.0
1519,district A,cell_2,mckenna,1,1.0,1.0,6.0,thomas,3.0,0.0,1.0,thomas,1.0,0.0
1520,district A,cell_2,mckenna,1,1.0,1.0,6.0,tiras,5.0,0.0,0.0,tiras,0.0,0.0
1529,district A,cell_3,naomi (1),1,1.0,1.0,6.0,cathryn,5.0,1.0,1.0,cathryn,1.0,1.0
1537,district A,cell_2,lockie,1,1.0,1.0,5.0,marcel,13.0,0.0,0.0,marcel,0.0,0.0
1545,district A,cell_1,marvyn,1,1.0,1.0,6.0,r_my,3.0,0.0,0.0,r_my,0.0,0.0
1550,district A,cell_1,pamelia,1,1.0,1.0,4.0,gracie,3.0,1.0,2.0,gracie,2.0,1.0
1553,district A,cell_3,frank,1,1.0,1.0,3.0,bettie,3.0,1.0,1.0,bettie,1.0,1.0
1559,district A,cell_1,hall,1,1.0,1.0,7.0,justin,5.0,0.0,2.0,justin,2.0,0.0
1564,district A,cell_1,dikeledi,1,1.0,1.0,8.0,max,3.0,0.0,2.0,max,2.0,0.0
1565,district A,cell_1,dikeledi,1,1.0,1.0,8.0,ochieng,3.0,0.0,0.0,ochieng,0.0,0.0
1576,district A,cell_1,renie,1,1.0,1.0,4.0,prince,5.0,0.0,0.0,prince,0.0,0.0
1583,district A,cell_2,hettie,1,1.0,1.0,4.0,valarie,0.0,1.0,2.0,valarie,2.0,1.0
1593,district A,cell_3,travers,1,1.0,1.0,4.0,s_bastienne,3.0,1.0,2.0,s_bastienne,2.0,1.0
1596,district A,cell_2,staci,1,1.0,1.0,6.0,bram,5.0,0.0,1.0,bram,1.0,0.0
1604,district A,cell_1,heath,1,1.0,1.0,8.0,st_phane,3.0,0.0,1.0,st_phane,1.0,0.0
1615,district A,cell_2,walt,1,1.0,1.0,7.0,christine,3.0,1.0,0.0,christine,0.0,1.0
1618,district A,cell_1,amity,1,1.0,1.0,3.0,achaicus,3.0,0.0,2.0,achaicus,2.0,0.0
1629,district A,cell_3,briscoe,1,1.0,1.0,6.0,gib,5.0,0.0,0.0,gib,0.0,0.0
1645,district A,cell_2,thom,1,1.0,1.0,8.0,kunto,3.0,1.0,2.0,kunto,2.0,1.0
1651,district A,cell_3,abraham,1,1.0,1.0,6.0,clothilde,3.0,1.0,2.0,clothilde,2.0,1.0
1652,district A,cell_1,kimmy,1,1.0,1.0,3.0,_milien,3.0,0.0,1.0,_milien,1.0,0.0
1658,district A,cell_3,hezekiah,1,1.0,1.0,4.0,romayne,3.0,1.0,2.0,romayne,2.0,1.0
1666,district A,cell_3,judith,1,1.0,1.0,8.0,marceline,3.0,1.0,0.0,marceline,0.0,1.0
1678,district A,cell_1,yasmine,1,1.0,1.0,6.0,inigo,5.0,0.0,0.0,inigo,0.0,0.0
1684,district A,cell_3,kwesi,1,1.0,1.0,4.0,s_bastien,3.0,0.0,2.0,s_bastien,2.0,0.0
1696,district A,cell_3,jaydon,1,1.0,1.0,11.0,winfred,3.0,0.0,2.0,winfred,2.0,0.0
1705,district A,cell_1,chrissie,1,1.0,1.0,5.0,joelle,5.0,1.0,1.0,joelle,1.0,1.0
1714,district A,cell_2,emerson,1,1.0,1.0,5.0,harmon,3.0,0.0,1.0,harmon,1.0,0.0
1724,district A,cell_3,lisanne,1,1.0,1.0,8.0,ginger,3.0,1.0,1.0,ginger,1.0,1.0
1738,district A,cell_2,janeka,1,1.0,1.0,5.0,clinton,5.0,0.0,2.0,clinton,2.0,0.0
