,district,cell,household_head,find_hh,consent1,children_in_hh,hhmembers,name_hh_member,relation_to_hh_head,gender_hh_member,age_hh_member
60,district A,cell_3,dave,1,1.0,1.0,5.0,denzel,3.0,0.0,13.0
61,district A,cell_3,dave,1,1.0,1.0,5.0,virgie,2.0,1.0,37.0
62,district A,cell_3,dave,1,1.0,1.0,5.0,melita,3.0,1.0,5.0
63,district A,cell_3,dave,1,1.0,1.0,5.0,luella,3.0,1.0,0.0
64,district A,cell_3,sally,1,1.0,1.0,5.0,lindon,3.0,0.0,17.0
65,district A,cell_3,sally,1,1.0,1.0,5.0,marcellin,5.0,0.0,2.0
66,district A,cell_3,sally,1,1.0,1.0,5.0,sally,1.0,1.0,54.0
67,district A,cell_3,sally,1,1.0,1.0,5.0,rosalynne,3.0,1.0,22.0
68,district A,cell_3,sally,1,1.0,1.0,5.0,korinna,5.0,1.0,6.0
69,district A,cell_2,osborne,1,1.0,1.0,8.0,osborne,1.0,0.0,55.0
70,district A,cell_2,osborne,1,1.0,1.0,8.0,travis,3.0,0.0,20.0
71,district A,cell_2,osborne,1,1.0,1.0,8.0,tyreek,3.0,0.0,12.0
72,district A,cell_2,osborne,1,1.0,1.0,8.0,vinal,3.0,0.0,9.0
73,district A,cell_2,osborne,1,1.0,1.0,8.0,camden,3.0,0.0,1.0
74,district A,cell_2,osborne,1,1.0,1.0,8.0,jacquette,2.0,1.0,38.0
75,district A,cell_2,osborne,1,1.0,1.0,8.0,fanny,3.0,1.0,17.0
76,district A,cell_2,osborne,1,1.0,1.0,8.0,piety,3.0,1.0,5.0
77,district A,cell_3,elliot,1,0.0,,,,,,
78,district A,cell_2,chesley,1,1.0,1.0,4.0,chesley,1.0,0.0,36.0
79,district A,cell_2,chesley,1,1.0,1.0,4.0,bridgette,2.0,1.0,28.0
80,district A,cell_2,chesley,1,1.0,1.0,4.0,_liane,3.0,1.0,4.0
81,district A,cell_2,chesley,1,1.0,1.0,4.0,isolde,3.0,1.0,1.0
82,district A,cell_2,beverly,1,1.0,1.0,2.0,gerard,3.0,0.0,2.0
83,district A,cell_2,beverly,1,1.0,1.0,2.0,beverly,1.0,1.0,27.0
84,district A,cell_1,guiscard,1,1.0,1.0,4.0,guiscard,1.0,0.0,32.0
85,district A,cell_1,guiscard,1,1.0,1.0,4.0,jerrod,3.0,0.0,6.0
86,district A,cell_1,guiscard,1,1.0,1.0,4.0,jonathan,3.0,0.0,0.0
87,district A,cell_1,guiscard,1,1.0,1.0,4.0,kora,2.0,1.0,29.0
88,district A,cell_1,peppi,1,1.0,1.0,4.0,kory,3.0,0.0,16.0
89,district A,cell_1,peppi,1,1.0,1.0,4.0,olujimi,3.0,0.0,13.0
90,district A,cell_1,peppi,1,1.0,1.0,4.0,peppi,1.0,1.0,39.0
91,district A,cell_1,peppi,1,1.0,1.0,4.0,sammi,3.0,1.0,3.0
92,district A,cell_1,wilkie,1,1.0,1.0,10.0,seth (1),5.0,0.0,3.0
93,district A,cell_1,wilkie,1,1.0,1.0,10.0,wilkie,1.0,0.0,66.0
94,district A,cell_1,wilkie,1,1.0,1.0,10.0,bernie,3.0,0.0,15.0
95,district A,cell_1,wilkie,1,1.0,1.0,10.0,brad,3.0,0.0,7.0
96,district A,cell_1,wilkie,1,1.0,1.0,10.0,devin,5.0,0.0,3.0
97,district A,cell_1,wilkie,1,1.0,1.0,10.0,victoria (1),2.0,1.0,53.0
98,district A,cell_1,wilkie,1,1.0,1.0,10.0,branda,3.0,1.0,28.0
99,district A,cell_1,wilkie,1,1.0,1.0,10.0,jodi,3.0,1.0,25.0
100,district A,cell_1,wilkie,1,1.0,1.0,10.0,mariabella,3.0,1.0,13.0
101,district A,cell_1,wilkie,1,1.0,1.0,10.0,tammy,3.0,1.0,10.0
102,district A,cell_3,ellis (1),1,1.0,1.0,4.0,ellis (1),1.0,0.0,34.0
103,district A,cell_3,ellis (1),1,1.0,1.0,4.0,fernand,3.0,0.0,7.0
104,district A,cell_3,ellis (1),1,1.0,1.0,4.0,gabriel,3.0,0.0,2.0
105,district A,cell_3,ellis (1),1,1.0,1.0,4.0,alaina,2.0,1.0,30.0
106,district A,cell_3,godric,1,1.0,1.0,5.0,godric,1.0,0.0,69.0
107,district A,cell_3,godric,1,1.0,1.0,5.0,jemmy,5.0,0.0,5.0
108,district A,cell_3,godric,1,1.0,1.0,5.0,anise,2.0,1.0,57.0
109,district A,cell_3,godric,1,1.0,1.0,5.0,romaine,3.0,1.0,31.0
110,district A,cell_3,godric,1,1.0,1.0,5.0,alea,5.0,1.0,0.0
111,district A,cell_2,alphonsine,1,1.0,1.0,4.0,junior,3.0,0.0,23.0
112,district A,cell_2,alphonsine,1,1.0,1.0,4.0,morton,5.0,0.0,3.0
113,district A,cell_2,alphonsine,1,1.0,1.0,4.0,alphonsine,1.0,1.0,57.0
114,district A,cell_2,alphonsine,1,1.0,1.0,4.0,tracie,3.0,1.0,26.0
115,district A,cell_1,tiphanie,1,1.0,0.0,,randall,3.0,0.0,30.0
116,district A,cell_1,tiphanie,1,1.0,0.0,,telesphore,5.0,0.0,8.0
117,district A,cell_1,tiphanie,1,1.0,0.0,,eloise,2.0,1.0,39.0
118,district A,cell_1,tiphanie,1,1.0,0.0,,callie,3.0,1.0,28.0
119,district A,cell_1,tiphanie,1,1.0,0.0,,bilhah,5.0,1.0,4.0
120,district A,cell_1,tiphanie,1,1.0,0.0,,liane,5.0,1.0,1.0
121,district A,cell_1,portia,1,1.0,1.0,8.0,wilmer,3.0,0.0,22.0
122,district A,cell_1,portia,1,1.0,1.0,8.0,beauregard,5.0,0.0,2.0
123,district A,cell_1,portia,1,1.0,1.0,8.0,portia,1.0,1.0,46.0
124,district A,cell_1,portia,1,1.0,1.0,8.0,hallie,3.0,1.0,28.0
125,district A,cell_1,portia,1,1.0,1.0,8.0,ife,3.0,1.0,18.0
126,district A,cell_1,portia,1,1.0,1.0,8.0,prue,3.0,1.0,12.0
127,district A,cell_1,portia,1,1.0,1.0,8.0,kayly,3.0,1.0,10.0
128,district A,cell_1,portia,1,1.0,1.0,8.0,paulette,3.0,1.0,6.0
129,district A,cell_3,chrysanta,1,1.0,1.0,4.0,benton,3.0,0.0,18.0
130,district A,cell_3,chrysanta,1,1.0,1.0,4.0,elmer,3.0,0.0,13.0
131,district A,cell_3,chrysanta,1,1.0,1.0,4.0,ern,3.0,0.0,2.0
132,district A,cell_3,chrysanta,1,1.0,1.0,4.0,chrysanta,1.0,1.0,40.0
133,district A,cell_2,laban,1,1.0,1.0,8.0,laban,1.0,0.0,41.0
134,district A,cell_2,laban,1,1.0,1.0,8.0,oluwaseun,3.0,0.0,14.0
135,district A,cell_2,laban,1,1.0,1.0,8.0,paise,3.0,0.0,9.0
136,district A,cell_2,laban,1,1.0,1.0,8.0,roger,3.0,0.0,8.0
137,district A,cell_2,laban,1,1.0,1.0,8.0,royce,3.0,0.0,1.0
138,district A,cell_2,laban,1,1.0,1.0,8.0,c_lestine,2.0,1.0,33.0
139,district A,cell_2,laban,1,1.0,1.0,8.0,briana,3.0,1.0,13.0
140,district A,cell_2,laban,1,1.0,1.0,8.0,francine,3.0,1.0,4.0
141,district A,cell_2,jazmine,1,1.0,1.0,5.0,sanford,2.0,0.0,28.0
142,district A,cell_2,jazmine,1,1.0,1.0,5.0,armel,3.0,0.0,2.0
143,district A,cell_2,jazmine,1,1.0,1.0,5.0,brice,13.0,0.0,15.0
144,district A,cell_2,jazmine,1,1.0,1.0,5.0,jazmine,1.0,1.0,30.0
145,district A,cell_2,jazmine,1,1.0,1.0,5.0,maryanne,3.0,1.0,5.0
146,district A,cell_3,lindy,1,1.0,1.0,5.0,jaylin,3.0,0.0,12.0
147,district A,cell_3,lindy,1,1.0,1.0,5.0,jayson,3.0,0.0,2.0
148,district A,cell_3,lindy,1,1.0,1.0,5.0,lindy,1.0,1.0,34.0
149,district A,cell_3,lindy,1,1.0,1.0,5.0,nova,3.0,1.0,8.0
150,district A,cell_3,lindy,1,1.0,1.0,5.0,sunday,3.0,1.0,0.0
151,district A,cell_2,jonathon,1,1.0,1.0,6.0,jonathon,1.0,0.0,33.0
152,district A,cell_2,jonathon,1,1.0,1.0,6.0,kwabena,3.0,0.0,12.0
153,district A,cell_2,jonathon,1,1.0,1.0,6.0,michel,3.0,0.0,5.0
154,district A,cell_2,jonathon,1,1.0,1.0,6.0,waylon,3.0,0.0,2.0
155,district A,cell_2,jonathon,1,1.0,1.0,6.0,jayme,2.0,1.0,32.0
156,district A,cell_2,jonathon,1,1.0,1.0,6.0,jan (2),3.0,1.0,10.0
157,district A,cell_2,amanda,1,1.0,1.0,4.0,christmas,2.0,0.0,34.0
158,district A,cell_2,amanda,1,1.0,1.0,4.0,amanda,1.0,1.0,28.0
159,district A,cell_2,amanda,1,1.0,1.0,4.0,leta,3.0,1.0,2.0
160,district A,cell_2,amanda,1,1.0,1.0,4.0,mae,3.0,1.0,0.0
161,district A,cell_3,christiana,1,1.0,1.0,3.0,louie,3.0,0.0,18.0
162,district A,cell_3,christiana,1,1.0,1.0,3.0,christiana,1.0,1.0,78.0
163,district A,cell_3,christiana,1,1.0,1.0,3.0,unique,5.0,1.0,3.0
164,district A,cell_3,maitland,1,1.0,1.0,5.0,maitland,1.0,0.0,80.0
165,district A,cell_3,maitland,1,1.0,1.0,5.0,maximilien,5.0,0.0,16.0
166,district A,cell_3,maitland,1,1.0,1.0,5.0,philippe,4.0,0.0,11.0
167,district A,cell_3,maitland,1,1.0,1.0,5.0,amabel,2.0,1.0,64.0
168,district A,cell_3,maitland,1,1.0,1.0,5.0,penny,4.0,1.0,3.0
169,district A,cell_2,judith,1,0.0,,,,,,
170,district A,cell_2,lilith,1,1.0,1.0,6.0,clay,5.0,0.0,15.0
171,district A,cell_2,lilith,1,1.0,1.0,6.0,dell,5.0,0.0,13.0
172,district A,cell_2,lilith,1,1.0,1.0,6.0,elwood,5.0,0.0,6.0
173,district A,cell_2,lilith,1,1.0,1.0,6.0,lilith,1.0,1.0,68.0
174,district A,cell_2,lilith,1,1.0,1.0,6.0,lavone,3.0,1.0,36.0
175,district A,cell_2,lilith,1,1.0,1.0,6.0,lyn,5.0,1.0,2.0
176,district A,cell_3,madelina,1,1.0,1.0,5.0,emmett,5.0,0.0,13.0
177,district A,cell_3,madelina,1,1.0,1.0,5.0,hillel,5.0,0.0,7.0
178,district A,cell_3,madelina,1,1.0,1.0,5.0,kermit,5.0,0.0,3.0
179,district A,cell_3,madelina,1,1.0,1.0,5.0,madelina,1.0,1.0,60.0
180,district A,cell_3,madelina,1,1.0,1.0,5.0,alys,3.0,1.0,37.0
181,district A,cell_2,barbra,1,1.0,1.0,5.0,lawson,3.0,0.0,25.0
182,district A,cell_2,barbra,1,1.0,1.0,5.0,marlon,5.0,0.0,13.0
183,district A,cell_2,barbra,1,1.0,1.0,5.0,ritchie,5.0,0.0,7.0
184,district A,cell_2,barbra,1,1.0,1.0,5.0,tod,5.0,0.0,2.0
185,district A,cell_2,barbra,1,1.0,1.0,5.0,barbra,1.0,1.0,66.0
186,district A,cell_2,anson,1,1.0,1.0,6.0,anson,1.0,0.0,35.0
187,district A,cell_2,anson,1,1.0,1.0,6.0,dolph,3.0,0.0,7.0
188,district A,cell_2,anson,1,1.0,1.0,6.0,gosse,3.0,0.0,3.0
189,district A,cell_2,anson,1,1.0,1.0,6.0,sibilla,2.0,1.0,37.0
190,district A,cell_2,anson,1,1.0,1.0,6.0,honorine,3.0,1.0,9.0
191,district A,cell_2,anson,1,1.0,1.0,6.0,kezia,3.0,1.0,1.0
192,district A,cell_3,harlan,1,1.0,1.0,7.0,harlan,1.0,0.0,42.0
193,district A,cell_3,harlan,1,1.0,1.0,7.0,ira,3.0,0.0,11.0
194,district A,cell_3,harlan,1,1.0,1.0,7.0,ivor,3.0,0.0,10.0
195,district A,cell_3,harlan,1,1.0,1.0,7.0,jarrod,3.0,0.0,8.0
196,district A,cell_3,harlan,1,1.0,1.0,7.0,jimmy,3.0,0.0,5.0
197,district A,cell_3,harlan,1,1.0,1.0,7.0,zoie,2.0,1.0,39.0
198,district A,cell_3,harlan,1,1.0,1.0,7.0,jean (2),3.0,1.0,1.0
199,district A,cell_2,jules (2),1,1.0,1.0,3.0,joshua,3.0,0.0,28.0
200,district A,cell_2,jules (2),1,1.0,1.0,3.0,jules (2),1.0,1.0,58.0
201,district A,cell_2,jules (2),1,1.0,1.0,3.0,louella,5.0,1.0,3.0
202,district A,cell_1,kian,1,1.0,1.0,5.0,kian,1.0,0.0,34.0
203,district A,cell_1,kian,1,1.0,1.0,5.0,oswin,3.0,0.0,12.0
204,district A,cell_1,kian,1,1.0,1.0,5.0,roch,3.0,0.0,7.0
205,district A,cell_1,kian,1,1.0,1.0,5.0,sterling,3.0,0.0,5.0
206,district A,cell_1,kian,1,1.0,1.0,5.0,latasha,3.0,1.0,3.0
207,district A,cell_1,linda,0,,,,,,,
208,district A,cell_1,lexy,1,1.0,1.0,4.0,zacchaeus,3.0,0.0,22.0
209,district A,cell_1,lexy,1,1.0,1.0,4.0,lexy,1.0,1.0,63.0
210,district A,cell_1,lexy,1,1.0,1.0,4.0,yvonne,3.0,1.0,32.0
211,district A,cell_1,lexy,1,1.0,1.0,4.0,lesleigh,5.0,1.0,2.0
212,district A,cell_3,absalom,1,1.0,1.0,6.0,absalom,1.0,0.0,64.0
213,district A,cell_3,absalom,1,1.0,1.0,6.0,adrian,3.0,0.0,15.0
214,district A,cell_3,absalom,1,1.0,1.0,6.0,augustine,3.0,0.0,10.0
215,district A,cell_3,absalom,1,1.0,1.0,6.0,cyrus,3.0,0.0,5.0
216,district A,cell_3,absalom,1,1.0,1.0,6.0,hazael,3.0,0.0,2.0
217,district A,cell_3,absalom,1,1.0,1.0,6.0,agatha,2.0,1.0,36.0
218,district A,cell_2,louise,1,1.0,1.0,5.0,jason,3.0,0.0,28.0
219,district A,cell_2,louise,1,1.0,1.0,5.0,louise,1.0,1.0,61.0
220,district A,cell_2,louise,1,1.0,1.0,5.0,idelle,3.0,1.0,36.0
221,district A,cell_2,louise,1,1.0,1.0,5.0,monique,5.0,1.0,8.0
222,district A,cell_2,louise,1,1.0,1.0,5.0,r_gine,5.0,1.0,2.0
223,district A,cell_1,russ,1,1.0,1.0,8.0,russ,1.0,0.0,45.0
224,district A,cell_1,russ,1,1.0,1.0,8.0,sampson,2.0,0.0,42.0
225,district A,cell_1,russ,1,1.0,1.0,8.0,toussaint,3.0,0.0,19.0
226,district A,cell_1,russ,1,1.0,1.0,8.0,vergil,3.0,0.0,10.0
227,district A,cell_1,russ,1,1.0,1.0,8.0,janna,3.0,1.0,15.0
228,district A,cell_1,russ,1,1.0,1.0,8.0,anima (2),3.0,1.0,12.0
229,district A,cell_1,russ,1,1.0,1.0,8.0,salome,3.0,1.0,3.0
230,district A,cell_1,russ,1,1.0,1.0,8.0,melba,3.0,1.0,2.0
231,district A,cell_3,lisette,1,0.0,,,,,,
232,district A,cell_2,denny,1,1.0,1.0,5.0,denny,1.0,0.0,68.0
233,district A,cell_2,denny,1,1.0,1.0,5.0,everitt,3.0,0.0,1.0
234,district A,cell_2,denny,1,1.0,1.0,5.0,isbel,2.0,1.0,29.0
235,district A,cell_2,denny,1,1.0,1.0,5.0,brittney,4.0,1.0,6.0
236,district A,cell_2,denny,1,1.0,1.0,5.0,oluwayemisi,3.0,1.0,2.0
237,district A,cell_1,clementine,1,1.0,1.0,6.0,ewart,5.0,0.0,3.0
238,district A,cell_1,clementine,1,1.0,1.0,6.0,godwin,5.0,0.0,0.0
239,district A,cell_1,clementine,1,1.0,1.0,6.0,clementine,1.0,1.0,50.0
240,district A,cell_1,clementine,1,1.0,1.0,6.0,melinda,3.0,1.0,20.0
241,district A,cell_1,clementine,1,1.0,1.0,6.0,peony,3.0,1.0,9.0
242,district A,cell_1,clementine,1,1.0,1.0,6.0,lucie,3.0,1.0,6.0
243,district A,cell_1,virginie,1,1.0,1.0,6.0,irvine,3.0,0.0,36.0
244,district A,cell_1,virginie,1,1.0,1.0,6.0,kirk,3.0,0.0,29.0
245,district A,cell_1,virginie,1,1.0,1.0,6.0,laurent,3.0,0.0,20.0
246,district A,cell_1,virginie,1,1.0,1.0,6.0,lovel,5.0,0.0,2.0
247,district A,cell_1,virginie,1,1.0,1.0,6.0,virginie,1.0,1.0,67.0
248,district A,cell_1,virginie,1,1.0,1.0,6.0,danielle,3.0,1.0,25.0
249,district A,cell_3,ebony,1,1.0,1.0,7.0,manasseh,5.0,0.0,8.0
250,district A,cell_3,ebony,1,1.0,1.0,7.0,nimbus,5.0,0.0,5.0
251,district A,cell_3,ebony,1,1.0,1.0,7.0,ebony,1.0,1.0,78.0
252,district A,cell_3,ebony,1,1.0,1.0,7.0,gena,3.0,1.0,25.0
253,district A,cell_3,ebony,1,1.0,1.0,7.0,nerissa,5.0,1.0,6.0
254,district A,cell_3,ebony,1,1.0,1.0,7.0,brande,5.0,1.0,4.0
255,district A,cell_3,ebony,1,1.0,1.0,7.0,kalyn,5.0,1.0,0.0
256,district A,cell_2,morgana,1,1.0,1.0,5.0,brent,5.0,0.0,6.0
257,district A,cell_2,morgana,1,1.0,1.0,5.0,claud,5.0,0.0,1.0
258,district A,cell_2,morgana,1,1.0,1.0,5.0,morgana,1.0,1.0,68.0
259,district A,cell_2,morgana,1,1.0,1.0,5.0,karaugh,3.0,1.0,32.0
260,district A,cell_2,morgana,1,1.0,1.0,5.0,katriona,5.0,1.0,10.0
261,district A,cell_3,twyla,1,1.0,1.0,5.0,corin,3.0,0.0,15.0
262,district A,cell_3,twyla,1,1.0,1.0,5.0,darryl,3.0,0.0,6.0
263,district A,cell_3,twyla,1,1.0,1.0,5.0,denholm,3.0,0.0,1.0
264,district A,cell_3,twyla,1,1.0,1.0,5.0,twyla,1.0,1.0,39.0
265,district A,cell_3,twyla,1,1.0,1.0,5.0,boitumelo,3.0,1.0,3.0
266,district A,cell_2,shiphrah,1,1.0,1.0,5.0,elisha,2.0,0.0,26.0
267,district A,cell_2,shiphrah,1,1.0,1.0,5.0,ernest,3.0,0.0,1.0
268,district A,cell_2,shiphrah,1,1.0,1.0,5.0,shiphrah,1.0,1.0,28.0
269,district A,cell_2,shiphrah,1,1.0,1.0,5.0,nadia (1),3.0,1.0,9.0
270,district A,cell_2,shiphrah,1,1.0,1.0,5.0,chrissy,3.0,1.0,5.0
271,district A,cell_2,gervase,1,1.0,1.0,6.0,gervase,1.0,0.0,59.0
272,district A,cell_2,gervase,1,1.0,1.0,6.0,kenaniah,3.0,0.0,15.0
273,district A,cell_2,gervase,1,1.0,1.0,6.0,manon,2.0,1.0,35.0
274,district A,cell_2,gervase,1,1.0,1.0,6.0,allegria,3.0,1.0,11.0
275,district A,cell_2,gervase,1,1.0,1.0,6.0,axelle,3.0,1.0,10.0
276,district A,cell_2,gervase,1,1.0,1.0,6.0,cyndi,3.0,1.0,1.0
277,district A,cell_2,lucas,1,1.0,1.0,5.0,lucas,1.0,0.0,29.0
278,district A,cell_2,lucas,1,1.0,1.0,5.0,eleanora,2.0,1.0,21.0
279,district A,cell_2,lucas,1,1.0,1.0,5.0,gertie,3.0,1.0,11.0
280,district A,cell_2,lucas,1,1.0,1.0,5.0,linnaea,3.0,1.0,9.0
281,district A,cell_2,lucas,1,1.0,1.0,5.0,katelin,3.0,1.0,2.0
282,district A,cell_2,martie,1,1.0,1.0,7.0,martie,1.0,0.0,61.0
283,district A,cell_2,martie,1,1.0,1.0,7.0,matthieu,5.0,0.0,15.0
284,district A,cell_2,martie,1,1.0,1.0,7.0,neely,5.0,0.0,1.0
285,district A,cell_2,martie,1,1.0,1.0,7.0,laryn,2.0,1.0,55.0
286,district A,cell_2,martie,1,1.0,1.0,7.0,lilian,3.0,1.0,37.0
287,district A,cell_2,martie,1,1.0,1.0,7.0,maralyn,5.0,1.0,13.0
288,district A,cell_2,martie,1,1.0,1.0,7.0,myra,5.0,1.0,4.0
289,district A,cell_3,wilton,1,1.0,1.0,5.0,wilton,1.0,0.0,79.0
290,district A,cell_3,wilton,1,1.0,1.0,5.0,wright,3.0,0.0,20.0
291,district A,cell_3,wilton,1,1.0,1.0,5.0,zack,5.0,0.0,2.0
292,district A,cell_3,wilton,1,1.0,1.0,5.0,bea,2.0,1.0,58.0
293,district A,cell_3,wilton,1,1.0,1.0,5.0,jerrie,3.0,1.0,18.0
294,district A,cell_3,erin,1,1.0,1.0,6.0,edward,2.0,0.0,34.0
295,district A,cell_3,erin,1,1.0,1.0,6.0,_tienne,3.0,0.0,12.0
296,district A,cell_3,erin,1,1.0,1.0,6.0,geoff,3.0,0.0,6.0
297,district A,cell_3,erin,1,1.0,1.0,6.0,erin,1.0,1.0,33.0
298,district A,cell_3,erin,1,1.0,1.0,6.0,jacinda,3.0,1.0,1.0
299,district A,cell_3,erin,1,1.0,1.0,6.0,alice,4.0,1.0,12.0
300,district A,cell_2,nickolas,1,1.0,1.0,11.0,nickolas,1.0,0.0,73.0
301,district A,cell_2,nickolas,1,1.0,1.0,11.0,papillion,3.0,0.0,22.0
302,district A,cell_2,nickolas,1,1.0,1.0,11.0,wekesa,3.0,0.0,19.0
303,district A,cell_2,nickolas,1,1.0,1.0,11.0,zebedee,5.0,0.0,12.0
304,district A,cell_2,nickolas,1,1.0,1.0,11.0,bryan,5.0,0.0,10.0
305,district A,cell_2,nickolas,1,1.0,1.0,11.0,dominick,5.0,0.0,11.0
306,district A,cell_2,nickolas,1,1.0,1.0,11.0,jenessa,5.0,1.0,7.0
307,district A,cell_2,nickolas,1,1.0,1.0,11.0,sandrine,5.0,1.0,2.0
308,district A,cell_2,nickolas,1,1.0,1.0,11.0,ambre,2.0,1.0,58.0
309,district A,cell_2,nickolas,1,1.0,1.0,11.0,nellie,3.0,1.0,28.0
310,district A,cell_2,nickolas,1,1.0,1.0,11.0,rachael,3.0,1.0,16.0
311,district A,cell_2,kwadwo,1,1.0,1.0,5.0,kwadwo,1.0,0.0,42.0
312,district A,cell_2,kwadwo,1,1.0,1.0,5.0,matt,3.0,0.0,12.0
313,district A,cell_2,kwadwo,1,1.0,1.0,5.0,maynard,3.0,0.0,0.0
314,district A,cell_2,kwadwo,1,1.0,1.0,5.0,ama,2.0,1.0,43.0
